,Group
BeeP-25-2013_NODE_2453_length_722_cov_3_590698,Low coverage
BeeP-25-2013_NODE_2492_length_719_cov_2_168224,Low coverage
BeeP-25-2013_NODE_2503_length_717_cov_8_390625,Low coverage
BeeP-25-2013_NODE_2542_length_713_cov_6_036164,Low coverage
BeeP-25-2013_NODE_2575_length_709_cov_4_360759,Low coverage
BeeP-25-2013_NODE_2602_length_706_cov_7_473768,Low coverage
BeeP-25-2013_NODE_2631_length_704_cov_4_902711,Low coverage
BeeP-25-2013_NODE_2879_length_686_cov_8_489327,Low coverage
BeeP-25-2013_NODE_3019_length_676_cov_6_943239,Low coverage
BeeP-25-2013_NODE_3077_length_673_cov_1_959732,Low coverage
BeeP-25-2013_NODE_3107_length_671_cov_6_168350,Low coverage
BeeP-25-2013_NODE_3171_length_667_cov_1_715254,High coverage
BeeP-25-2013_NODE_3202_length_665_cov_4_841837,Low coverage
BeeP-25-2013_NODE_3261_length_661_cov_8_744863,Low coverage
BeeP-25-2013_NODE_3270_length_661_cov_5_308219,Low coverage
BeeP-25-2013_NODE_3281_length_660_cov_4_560892,Low coverage
BeeP-25-2013_NODE_3299_length_659_cov_6_895189,Low coverage
BeeP-25-2013_NODE_3301_length_659_cov_6_290378,Low coverage
BeeP-25-2013_NODE_3455_length_650_cov_9_303665,Low coverage
BeeP-25-2013_NODE_3499_length_648_cov_11_322242,Low coverage
BeeP-25-2013_NODE_3506_length_648_cov_4_823117,Low coverage
BeeP-25-2013_NODE_3635_length_641_cov_4_070922,Low coverage
BeeP-25-2013_NODE_3676_length_638_cov_6_631016,Low coverage
BeeP-25-2013_NODE_3739_length_634_cov_16_531418,Low coverage
BeeP-25-2013_NODE_3804_length_631_cov_8_891697,Low coverage
BeeP-25-2013_NODE_3899_length_626_cov_8_307832,Low coverage
BeeP-25-2013_NODE_3996_length_622_cov_7_697248,Low coverage
BeeP-25-2013_NODE_4187_length_614_cov_6_009311,Low coverage
BeeP-25-2013_NODE_4264_length_611_cov_4_247191,Low coverage
BeeP-25-2013_NODE_4279_length_610_cov_17_382739,Low coverage
BeeP-25-2013_NODE_4332_length_608_cov_11_860640,Low coverage
BeeP-25-2013_NODE_4362_length_608_cov_2_376648,Low coverage
BeeP-25-2013_NODE_4587_length_598_cov_8_414587,Low coverage
BeeP-25-2013_NODE_4632_length_597_cov_4_538462,Low coverage
BeeP-25-2013_NODE_4641_length_597_cov_3_234615,Low coverage
BeeP-25-2013_NODE_4778_length_591_cov_6_422179,Low coverage
BeeP-25-2013_NODE_5094_length_579_cov_2_527888,Low coverage
BeeP-25-2013_NODE_5099_length_579_cov_1_936255,Low coverage
BeeP-25-2013_NODE_5154_length_577_cov_4_244000,Low coverage
BeeP-25-2013_NODE_5469_length_566_cov_1_364008,Low coverage
BeeP-25-2013_NODE_5806_length_556_cov_3_830898,Low coverage
BeeP-25-2013_NODE_5818_length_555_cov_13_579498,Low coverage
BeeP-25-2013_NODE_5877_length_554_cov_2_628931,Low coverage
BeeP-25-2013_NODE_5893_length_553_cov_6_886555,Low coverage
BeeP-25-2013_NODE_6155_length_546_cov_3_752665,Low coverage
BeeP-25-2013_NODE_6194_length_545_cov_1_649573,Low coverage
BeeP-25-2013_NODE_6365_length_541_cov_2_232759,Low coverage
BeeP-25-2013_NODE_6620_length_534_cov_4_595186,Low coverage
BeeP-25-2013_NODE_6642_length_533_cov_9_791667,Low coverage
BeeP-25-2013_NODE_6806_length_529_cov_11_679204,Low coverage
BeeP-25-2013_NODE_6832_length_529_cov_3_336283,Low coverage
BeeP-25-2013_NODE_6842_length_529_cov_2_617257,Low coverage
BeeP-25-2013_NODE_7126_length_523_cov_2_784753,Low coverage
BeeP-25-2013_NODE_7139_length_523_cov_1_762332,Low coverage
BeeP-25-2013_NODE_7258_length_520_cov_3_986456,Low coverage
BeeP-25-2013_NODE_7302_length_519_cov_5_312217,Low coverage
BeeP-25-2013_NODE_7352_length_518_cov_6_056689,Low coverage
BeeP-25-2013_NODE_7386_length_518_cov_1_766440,Low coverage
BeeP-25-2013_NODE_7522_length_515_cov_2_547945,Low coverage
BeeP-25-2013_NODE_7699_length_511_cov_3_391705,Low coverage
BeeP-25-2013_NODE_7820_length_508_cov_8_767981,Low coverage
BeeP-25-2013_NODE_7878_length_507_cov_8_381395,Low coverage
BeeP-25-2013_NODE_7993_length_505_cov_5_352804,Low coverage
BeeP-25-2013_NODE_8020_length_505_cov_2_327103,Low coverage
BeeP-25-2013_NODE_8026_length_504_cov_12_594848,Low coverage
BeeP-26-2013_NODE_4_length_1986_cov_1_557884,High coverage
BeeP-26-2013_NODE_30_length_1080_cov_1_518445,High coverage
BeeP-26-2013_NODE_45_length_874_cov_2_176913,High coverage
BeeP-26-2013_NODE_89_length_630_cov_0_963834,High coverage
BeeP-26-2013_NODE_112_length_554_cov_1_419287,High coverage
BeeP-26-2013_NODE_125_length_536_cov_1_936819,High coverage
BeeP-26-2013_NODE_131_length_529_cov_1_263274,High coverage
BeeP-26-2013_NODE_134_length_527_cov_1_691111,High coverage
BeeP-27-2013_NODE_8_length_2163_cov_2_940556,High coverage
BeeP-32-2013_NODE_4_length_5169_cov_6_513747,High coverage
BeeP-32-2013_NODE_20_length_2560_cov_5_010068,High coverage
BeeP-32-2013_NODE_34_length_2245_cov_6_156365,High coverage
BeeP-32-2013_NODE_86_length_1383_cov_8_031394,High coverage
BeeP-32-2013_NODE_138_length_1013_cov_1_533120,Low coverage
BeeP-32-2013_NODE_308_length_631_cov_1_389892,High coverage
BeeP-34-2013_NODE_22_length_3589_cov_3_437358,High coverage
BeeP-34-2013_NODE_31_length_2776_cov_4_152279,High coverage
BeeP-34-2013_NODE_44_length_2144_cov_4_907112,High coverage
BeeP-34-2013_NODE_49_length_2009_cov_4_048137,High coverage
BeeP-34-2013_NODE_57_length_1860_cov_4_348289,High coverage
BeeP-34-2013_NODE_61_length_1796_cov_4_495055,High coverage
BeeP-34-2013_NODE_87_length_1363_cov_2_623639,High coverage
BeeP-34-2013_NODE_109_length_1209_cov_6_444346,High coverage
BeeP-34-2013_NODE_163_length_976_cov_1_816463,Low coverage
BeeP-34-2013_NODE_185_length_928_cov_2_529965,High coverage
BeeP-34-2013_NODE_199_length_891_cov_1_286241,Low coverage
BeeP-34-2013_NODE_253_length_753_cov_1_791420,Low coverage
BeeP-34-2013_NODE_263_length_740_cov_1_576169,Low coverage
BeeP-34-2013_NODE_376_length_607_cov_1_894340,Low coverage
BeeP-34-2013_NODE_516_length_508_cov_1_399072,Low coverage
BeeP-35-2013_NODE_1_length_48212_cov_109_842256,High modularity 2
BeeP-35-2013_NODE_2_length_43720_cov_19_440918,High modularity 1
BeeP-35-2013_NODE_3_length_42833_cov_34_126251,High modularity 2
BeeP-35-2013_NODE_4_length_41188_cov_35_826810,High modularity 2
BeeP-35-2013_NODE_5_length_35225_cov_48_222915,High modularity 2
BeeP-35-2013_NODE_6_length_35076_cov_25_069488,High modularity 2
BeeP-35-2013_NODE_7_length_33611_cov_14_653814,High modularity 2
BeeP-35-2013_NODE_8_length_29325_cov_22_671328,High modularity 2
BeeP-35-2013_NODE_9_length_26701_cov_21_219050,High modularity 2
BeeP-35-2013_NODE_10_length_26028_cov_14_780163,High modularity 2
BeeP-35-2013_NODE_11_length_23598_cov_61_569321,High modularity 2
BeeP-35-2013_NODE_12_length_23245_cov_25_396581,High modularity 2
BeeP-35-2013_NODE_13_length_23067_cov_27_053849,High modularity 2
BeeP-35-2013_NODE_14_length_22639_cov_16_783663,High modularity 2
BeeP-35-2013_NODE_16_length_20704_cov_23_947738,High modularity 2
BeeP-35-2013_NODE_17_length_17796_cov_12_111688,High modularity 2
BeeP-35-2013_NODE_18_length_15902_cov_13_453712,High modularity 2
BeeP-35-2013_NODE_19_length_15386_cov_11_359135,High modularity 2
BeeP-35-2013_NODE_20_length_15119_cov_38_743851,High modularity 2
BeeP-35-2013_NODE_21_length_14827_cov_14_719051,High modularity 2
BeeP-35-2013_NODE_22_length_14810_cov_20_719745,High modularity 2
BeeP-35-2013_NODE_24_length_14462_cov_22_028224,High modularity 2
BeeP-35-2013_NODE_25_length_13628_cov_11_213268,High modularity 2
BeeP-35-2013_NODE_26_length_13073_cov_17_861881,High modularity 2
BeeP-35-2013_NODE_28_length_11533_cov_9_485684,High modularity 2
BeeP-35-2013_NODE_30_length_10752_cov_19_350817,High modularity 2
BeeP-35-2013_NODE_31_length_10257_cov_86_170530,High modularity 2
BeeP-35-2013_NODE_32_length_10215_cov_18_220655,High modularity 2
BeeP-35-2013_NODE_34_length_9752_cov_15_220568,Low coverage
BeeP-35-2013_NODE_35_length_9617_cov_14_459119,Low coverage
BeeP-35-2013_NODE_36_length_9614_cov_11_250917,Low coverage
BeeP-35-2013_NODE_38_length_9308_cov_13_283935,Low coverage
BeeP-35-2013_NODE_39_length_9293_cov_25_646484,High coverage
BeeP-35-2013_NODE_41_length_9049_cov_11_747214,Low coverage
BeeP-35-2013_NODE_42_length_9016_cov_11_423090,Low coverage
BeeP-35-2013_NODE_46_length_8623_cov_17_327756,Low coverage
BeeP-35-2013_NODE_49_length_8131_cov_11_499007,High coverage
BeeP-35-2013_NODE_50_length_7977_cov_6_771519,Low coverage
BeeP-35-2013_NODE_52_length_7731_cov_9_891691,Low coverage
BeeP-35-2013_NODE_53_length_7543_cov_15_098848,Low coverage
BeeP-35-2013_NODE_55_length_7329_cov_11_474490,Low coverage
BeeP-35-2013_NODE_57_length_7194_cov_9_108332,Low coverage
BeeP-35-2013_NODE_58_length_7158_cov_5_354752,Low coverage
BeeP-35-2013_NODE_62_length_6813_cov_12_739905,Low coverage
BeeP-35-2013_NODE_63_length_6262_cov_21_267745,Low coverage
BeeP-35-2013_NODE_64_length_6131_cov_9_335646,Low coverage
BeeP-35-2013_NODE_65_length_6125_cov_18_304067,Low coverage
BeeP-35-2013_NODE_71_length_5651_cov_11_405454,Low coverage
BeeP-35-2013_NODE_72_length_5650_cov_32_030145,High coverage
BeeP-35-2013_NODE_83_length_5294_cov_11_220050,Low coverage
BeeP-35-2013_NODE_84_length_5250_cov_13_305625,Low coverage
BeeP-35-2013_NODE_86_length_5097_cov_6_558167,Low coverage
BeeP-35-2013_NODE_87_length_5092_cov_9_194018,Low coverage
BeeP-35-2013_NODE_91_length_4903_cov_17_501450,Low coverage
BeeP-35-2013_NODE_94_length_4852_cov_8_139476,Low coverage
BeeP-35-2013_NODE_96_length_4847_cov_14_741719,Low coverage
BeeP-35-2013_NODE_101_length_4758_cov_10_145268,Low coverage
BeeP-35-2013_NODE_106_length_4681_cov_9_941355,Low coverage
BeeP-35-2013_NODE_110_length_4654_cov_12_130435,Low coverage
BeeP-35-2013_NODE_113_length_4637_cov_15_281798,Low coverage
BeeP-35-2013_NODE_115_length_4625_cov_13_690193,Low coverage
BeeP-35-2013_NODE_122_length_4456_cov_7_294588,Low coverage
BeeP-35-2013_NODE_124_length_4444_cov_6_485459,Low coverage
BeeP-35-2013_NODE_126_length_4410_cov_35_517655,Low coverage
BeeP-35-2013_NODE_143_length_4132_cov_11_994328,Low coverage
BeeP-35-2013_NODE_157_length_3860_cov_5_047581,Low coverage
BeeP-35-2013_NODE_158_length_3852_cov_6_687682,Low coverage
BeeP-35-2013_NODE_160_length_3775_cov_10_390211,Low coverage
BeeP-35-2013_NODE_191_length_3520_cov_6_557944,Low coverage
BeeP-35-2013_NODE_198_length_3448_cov_7_908929,Low coverage
BeeP-35-2013_NODE_201_length_3435_cov_5_214413,High coverage
BeeP-35-2013_NODE_205_length_3420_cov_14_847143,Low coverage
BeeP-35-2013_NODE_207_length_3414_cov_11_315553,Low coverage
BeeP-35-2013_NODE_208_length_3414_cov_10_340426,Low coverage
BeeP-35-2013_NODE_212_length_3369_cov_15_016707,Low coverage
BeeP-35-2013_NODE_213_length_3369_cov_7_354800,Low coverage
BeeP-35-2013_NODE_214_length_3366_cov_8_666768,High coverage
BeeP-35-2013_NODE_228_length_3288_cov_23_598567,High coverage
BeeP-35-2013_NODE_233_length_3238_cov_8_467890,Low coverage
BeeP-35-2013_NODE_235_length_3227_cov_5_997460,Low coverage
BeeP-35-2013_NODE_239_length_3193_cov_5_683890,Low coverage
BeeP-35-2013_NODE_243_length_3166_cov_15_324377,Low coverage
BeeP-35-2013_NODE_247_length_3121_cov_11_420828,Low coverage
BeeP-35-2013_NODE_248_length_3121_cov_8_272996,Low coverage
BeeP-35-2013_NODE_253_length_3097_cov_7_112252,Low coverage
BeeP-35-2013_NODE_257_length_3072_cov_6_049416,Low coverage
BeeP-35-2013_NODE_258_length_3050_cov_10_975782,Low coverage
BeeP-35-2013_NODE_261_length_3048_cov_10_316055,Low coverage
BeeP-35-2013_NODE_263_length_3039_cov_8_234976,Low coverage
BeeP-35-2013_NODE_268_length_3020_cov_48_999320,High coverage
BeeP-35-2013_NODE_276_length_2950_cov_12_142012,High coverage
BeeP-35-2013_NODE_283_length_2919_cov_14_333568,Low coverage
BeeP-35-2013_NODE_290_length_2884_cov_6_195939,Low coverage
BeeP-35-2013_NODE_305_length_2827_cov_14_402182,Low coverage
BeeP-35-2013_NODE_306_length_2823_cov_5_052440,Low coverage
BeeP-35-2013_NODE_308_length_2812_cov_10_940768,High coverage
BeeP-35-2013_NODE_318_length_2754_cov_3_709376,Low coverage
BeeP-35-2013_NODE_333_length_2694_cov_7_862820,Low coverage
BeeP-35-2013_NODE_339_length_2664_cov_16_466564,Low coverage
BeeP-35-2013_NODE_342_length_2658_cov_3_927160,Low coverage
BeeP-35-2013_NODE_345_length_2641_cov_5_919267,Low coverage
BeeP-35-2013_NODE_346_length_2640_cov_4_145142,Low coverage
BeeP-35-2013_NODE_350_length_2619_cov_4_055862,Low coverage
BeeP-35-2013_NODE_352_length_2594_cov_10_714740,High coverage
BeeP-35-2013_NODE_357_length_2559_cov_124_907333,High coverage
BeeP-35-2013_NODE_363_length_2531_cov_14_806438,Low coverage
BeeP-35-2013_NODE_391_length_2428_cov_11_638877,Low coverage
BeeP-35-2013_NODE_394_length_2423_cov_6_218670,Low coverage
BeeP-35-2013_NODE_418_length_2335_cov_12_788751,Low coverage
BeeP-35-2013_NODE_432_length_2305_cov_4_146768,Low coverage
BeeP-35-2013_NODE_436_length_2296_cov_5_680036,Low coverage
BeeP-35-2013_NODE_462_length_2239_cov_11_698427,High coverage
BeeP-35-2013_NODE_467_length_2221_cov_8_120336,Low coverage
BeeP-35-2013_NODE_471_length_2208_cov_6_659784,Low coverage
BeeP-35-2013_NODE_489_length_2164_cov_3_464303,Low coverage
BeeP-35-2013_NODE_493_length_2156_cov_7_470899,High coverage
BeeP-35-2013_NODE_507_length_2140_cov_9_573921,Low coverage
BeeP-35-2013_NODE_508_length_2133_cov_25_378891,Low coverage
BeeP-35-2013_NODE_511_length_2128_cov_4_032667,Low coverage
BeeP-35-2013_NODE_521_length_2112_cov_4_479607,Low coverage
BeeP-35-2013_NODE_542_length_2070_cov_4_872554,Low coverage
BeeP-35-2013_NODE_543_length_2067_cov_5_288945,High coverage
BeeP-35-2013_NODE_552_length_2045_cov_4_274390,Low coverage
BeeP-35-2013_NODE_559_length_2035_cov_4_191011,Low coverage
BeeP-35-2013_NODE_604_length_1938_cov_3_596454,Low coverage
BeeP-35-2013_NODE_606_length_1936_cov_7_160301,Low coverage
BeeP-35-2013_NODE_618_length_1913_cov_4_537582,Low coverage
BeeP-35-2013_NODE_627_length_1892_cov_7_546556,Low coverage
BeeP-35-2013_NODE_662_length_1844_cov_20_672326,Low coverage
BeeP-35-2013_NODE_663_length_1840_cov_3_797504,Low coverage
BeeP-35-2013_NODE_692_length_1791_cov_13_528005,Low coverage
BeeP-35-2013_NODE_747_length_1704_cov_4_390904,Low coverage
BeeP-35-2013_NODE_781_length_1664_cov_3_176434,Low coverage
BeeP-35-2013_NODE_828_length_1606_cov_10_676913,High coverage
BeeP-35-2013_NODE_840_length_1594_cov_43_270929,Low coverage
BeeP-35-2013_NODE_869_length_1571_cov_19_611111,Low coverage
BeeP-35-2013_NODE_905_length_1544_cov_4_293115,Low coverage
BeeP-35-2013_NODE_908_length_1542_cov_6_694881,Low coverage
BeeP-35-2013_NODE_927_length_1520_cov_3_971587,High coverage
BeeP-35-2013_NODE_975_length_1475_cov_4_198856,Low coverage
BeeP-35-2013_NODE_1045_length_1419_cov_4_588674,Low coverage
BeeP-35-2013_NODE_1082_length_1389_cov_52_970274,High coverage
BeeP-35-2013_NODE_1109_length_1368_cov_7_519752,Low coverage
BeeP-35-2013_NODE_1293_length_1251_cov_2_572402,Low coverage
BeeP-35-2013_NODE_1353_length_1210_cov_3_413945,Low coverage
BeeP-35-2013_NODE_1358_length_1206_cov_2_762622,Low coverage
BeeP-35-2013_NODE_1369_length_1200_cov_4_916296,Low coverage
BeeP-35-2013_NODE_1524_length_1126_cov_3_212583,Low coverage
BeeP-35-2013_NODE_1537_length_1119_cov_5_557582,Low coverage
BeeP-35-2013_NODE_1557_length_1112_cov_2_441546,Low coverage
BeeP-35-2013_NODE_1732_length_1039_cov_7_450104,Low coverage
BeeP-35-2013_NODE_1733_length_1039_cov_4_214137,Low coverage
BeeP-35-2013_NODE_1753_length_1029_cov_5_310924,Low coverage
BeeP-35-2013_NODE_1754_length_1029_cov_1_226891,Low coverage
BeeP-35-2013_NODE_1797_length_1013_cov_2_649573,Low coverage
BeeP-35-2013_NODE_1815_length_1007_cov_3_520430,Low coverage
BeeP-35-2013_NODE_1865_length_987_cov_3_065934,Low coverage
BeeP-35-2013_NODE_1873_length_985_cov_4_457048,Low coverage
BeeP-35-2013_NODE_1879_length_984_cov_4_289967,Low coverage
BeeP-35-2013_NODE_1914_length_973_cov_4_574777,Low coverage
BeeP-35-2013_NODE_1927_length_969_cov_1_276906,Low coverage
BeeP-35-2013_NODE_1935_length_965_cov_3_038288,Low coverage
BeeP-35-2013_NODE_1968_length_954_cov_10_328392,Low coverage
BeeP-35-2013_NODE_2022_length_941_cov_2_421296,Low coverage
BeeP-35-2013_NODE_2107_length_917_cov_1_223810,Low coverage
BeeP-35-2013_NODE_2127_length_913_cov_2_838517,Low coverage
BeeP-35-2013_NODE_2189_length_897_cov_3_662195,Low coverage
BeeP-35-2013_NODE_2575_length_815_cov_3_468835,Low coverage
BeeP-35-2013_NODE_2640_length_803_cov_3_830579,High coverage
BeeP-35-2013_NODE_2732_length_787_cov_3_509859,Low coverage
BeeP-35-2013_NODE_2734_length_787_cov_3_385915,Low coverage
BeeP-35-2013_NODE_2747_length_785_cov_2_871469,Low coverage
BeeP-35-2013_NODE_2905_length_756_cov_2_005891,Low coverage
BeeP-35-2013_NODE_2965_length_747_cov_1_368657,Low coverage
BeeP-35-2013_NODE_3133_length_721_cov_1_540373,Low coverage
BeeP-35-2013_NODE_3150_length_717_cov_102_378125,Low coverage
BeeP-35-2013_NODE_3310_length_699_cov_1_483923,Low coverage
BeeP-35-2013_NODE_3418_length_687_cov_1_680328,Low coverage
BeeP-35-2013_NODE_3539_length_673_cov_4_152685,Low coverage
BeeP-35-2013_NODE_3704_length_660_cov_1_610635,Low coverage
BeeP-35-2013_NODE_3730_length_657_cov_2_656897,Low coverage
BeeP-35-2013_NODE_3745_length_655_cov_2_394464,Low coverage
BeeP-35-2013_NODE_3967_length_633_cov_2_656475,Low coverage
BeeP-35-2013_NODE_3993_length_631_cov_5_411552,Low coverage
BeeP-35-2013_NODE_4023_length_629_cov_1_858696,Low coverage
BeeP-35-2013_NODE_4346_length_602_cov_2_392381,Low coverage
BeeP-35-2013_NODE_4521_length_591_cov_5_628405,Low coverage
BeeP-35-2013_NODE_4585_length_586_cov_3_304519,Low coverage
BeeP-35-2013_NODE_4619_length_584_cov_2_560158,Low coverage
BeeP-35-2013_NODE_4642_length_582_cov_3_762376,Low coverage
BeeP-35-2013_NODE_4700_length_579_cov_1_350598,Low coverage
BeeP-35-2013_NODE_4705_length_578_cov_4_810379,Low coverage
BeeP-35-2013_NODE_5028_length_559_cov_1_821577,Low coverage
BeeP-35-2013_NODE_5042_length_558_cov_1_677755,Low coverage
BeeP-35-2013_NODE_5204_length_548_cov_8_135881,Low coverage
BeeP-35-2013_NODE_5442_length_537_cov_1_232609,Low coverage
BeeP-35-2013_NODE_5605_length_529_cov_3_991150,High coverage
BeeP-35-2013_NODE_5728_length_524_cov_2_633110,Low coverage
BeeP-35-2013_NODE_5770_length_522_cov_1_613483,Low coverage
BeeP-35-2013_NODE_5812_length_520_cov_5_108352,Low coverage
BeeP-35-2013_NODE_5911_length_517_cov_1_772727,Low coverage
BeeP-35-2013_NODE_5946_length_516_cov_0_758542,Low coverage
BeeP-35-2013_NODE_6131_length_509_cov_2_150463,Low coverage
BeeP-35-2013_NODE_6194_length_507_cov_2_272093,Low coverage
BeeP-35-2013_NODE_6228_length_505_cov_3_042056,Low coverage
BeeP-35-2013_NODE_6276_length_503_cov_2_582160,Low coverage
BeeP-35-2013_NODE_6326_length_502_cov_1_157647,Low coverage
BeeP-35-2013_NODE_6335_length_501_cov_2_396226,Low coverage
BeeP-36-2013_NODE_1_length_32049_cov_19_863443,High modularity 0
BeeP-37-2013_NODE_1_length_57959_cov_35_521647,High modularity 2
BeeP-37-2013_NODE_2_length_40678_cov_31_109505,High modularity 2
BeeP-37-2013_NODE_3_length_29184_cov_45_976294,High modularity 2
BeeP-37-2013_NODE_7_length_12848_cov_24_651946,High modularity 2
BeeP-37-2013_NODE_9_length_10235_cov_11_050896,High modularity 2
BeeP-37-2013_NODE_11_length_9174_cov_24_826426,High coverage
BeeP-37-2013_NODE_16_length_7875_cov_9_179661,Low coverage
BeeP-37-2013_NODE_17_length_7689_cov_29_869679,High coverage
BeeP-37-2013_NODE_18_length_6964_cov_15_322782,High coverage
BeeP-37-2013_NODE_21_length_6328_cov_13_938570,Low coverage
BeeP-37-2013_NODE_23_length_6232_cov_16_854265,High coverage
BeeP-37-2013_NODE_25_length_6004_cov_14_639784,High coverage
BeeP-37-2013_NODE_27_length_5538_cov_6_245743,High coverage
BeeP-37-2013_NODE_28_length_5515_cov_16_125782,Low coverage
BeeP-37-2013_NODE_33_length_5053_cov_27_856712,High coverage
BeeP-37-2013_NODE_39_length_4465_cov_6_550820,Low coverage
BeeP-37-2013_NODE_41_length_4377_cov_14_717674,Low coverage
BeeP-37-2013_NODE_42_length_4371_cov_20_234048,High coverage
BeeP-37-2013_NODE_46_length_4193_cov_9_767979,Low coverage
BeeP-37-2013_NODE_47_length_4141_cov_14_220719,High coverage
BeeP-37-2013_NODE_53_length_3934_cov_15_270936,Low coverage
BeeP-37-2013_NODE_55_length_3850_cov_9_283859,Low coverage
BeeP-37-2013_NODE_57_length_3823_cov_4_324346,Low coverage
BeeP-37-2013_NODE_58_length_3816_cov_16_986093,Low coverage
BeeP-37-2013_NODE_60_length_3712_cov_15_960935,Low coverage
BeeP-37-2013_NODE_62_length_3632_cov_9_192968,Low coverage
BeeP-37-2013_NODE_67_length_3471_cov_4_284915,High coverage
BeeP-37-2013_NODE_68_length_3424_cov_10_335524,High coverage
BeeP-37-2013_NODE_69_length_3419_cov_6_977259,Low coverage
BeeP-37-2013_NODE_75_length_3229_cov_5_874683,Low coverage
BeeP-37-2013_NODE_76_length_3220_cov_9_435253,High coverage
BeeP-37-2013_NODE_77_length_3205_cov_9_038043,Low coverage
BeeP-37-2013_NODE_79_length_3129_cov_6_522936,Low coverage
BeeP-37-2013_NODE_80_length_3073_cov_16_869493,High coverage
BeeP-37-2013_NODE_85_length_2979_cov_8_774294,Low coverage
BeeP-37-2013_NODE_91_length_2865_cov_9_144548,Low coverage
BeeP-37-2013_NODE_93_length_2847_cov_18_548375,High coverage
BeeP-37-2013_NODE_98_length_2753_cov_6_748505,Low coverage
BeeP-37-2013_NODE_100_length_2717_cov_17_120076,High coverage
BeeP-37-2013_NODE_106_length_2660_cov_8_377081,Low coverage
BeeP-37-2013_NODE_107_length_2636_cov_4_773740,Low coverage
BeeP-37-2013_NODE_111_length_2555_cov_5_512914,Low coverage
BeeP-37-2013_NODE_128_length_2279_cov_5_075386,Low coverage
BeeP-37-2013_NODE_129_length_2252_cov_5_749425,High coverage
BeeP-37-2013_NODE_135_length_2157_cov_5_204327,Low coverage
BeeP-37-2013_NODE_144_length_2085_cov_6_657371,Low coverage
BeeP-37-2013_NODE_145_length_2076_cov_11_398199,High coverage
BeeP-37-2013_NODE_163_length_1940_cov_10_728932,High coverage
BeeP-37-2013_NODE_167_length_1909_cov_10_145742,High coverage
BeeP-37-2013_NODE_171_length_1884_cov_7_058107,Low coverage
BeeP-37-2013_NODE_179_length_1840_cov_4_738514,Low coverage
BeeP-37-2013_NODE_182_length_1816_cov_5_529040,Low coverage
BeeP-37-2013_NODE_190_length_1781_cov_3_105634,Low coverage
BeeP-37-2013_NODE_194_length_1737_cov_5_934337,Low coverage
BeeP-37-2013_NODE_200_length_1713_cov_6_359413,High coverage
BeeP-37-2013_NODE_206_length_1676_cov_3_706066,High coverage
BeeP-37-2013_NODE_208_length_1672_cov_5_002508,Low coverage
BeeP-37-2013_NODE_224_length_1623_cov_4_678525,Low coverage
BeeP-37-2013_NODE_234_length_1572_cov_10_883612,High coverage
BeeP-37-2013_NODE_237_length_1568_cov_2_911469,Low coverage
BeeP-37-2013_NODE_238_length_1565_cov_8_177419,Low coverage
BeeP-37-2013_NODE_239_length_1561_cov_3_890162,Low coverage
BeeP-37-2013_NODE_243_length_1540_cov_3_573479,Low coverage
BeeP-37-2013_NODE_244_length_1537_cov_7_075342,High coverage
BeeP-37-2013_NODE_255_length_1477_cov_3_267143,Low coverage
BeeP-37-2013_NODE_271_length_1412_cov_4_659925,Low coverage
BeeP-37-2013_NODE_282_length_1388_cov_3_834477,Low coverage
BeeP-37-2013_NODE_301_length_1335_cov_6_577107,Low coverage
BeeP-37-2013_NODE_319_length_1280_cov_3_295096,Low coverage
BeeP-37-2013_NODE_320_length_1277_cov_6_728333,Low coverage
BeeP-37-2013_NODE_331_length_1254_cov_5_426508,Low coverage
BeeP-37-2013_NODE_334_length_1253_cov_5_173469,Low coverage
BeeP-37-2013_NODE_338_length_1246_cov_3_537211,Low coverage
BeeP-37-2013_NODE_363_length_1187_cov_1_759459,Low coverage
BeeP-37-2013_NODE_367_length_1164_cov_4_712052,Low coverage
BeeP-37-2013_NODE_369_length_1155_cov_2_981447,Low coverage
BeeP-37-2013_NODE_374_length_1146_cov_4_719364,Low coverage
BeeP-37-2013_NODE_376_length_1141_cov_2_776316,Low coverage
BeeP-37-2013_NODE_382_length_1127_cov_5_655238,High coverage
BeeP-37-2013_NODE_383_length_1126_cov_5_987607,Low coverage
BeeP-37-2013_NODE_399_length_1094_cov_7_240905,Low coverage
BeeP-37-2013_NODE_410_length_1085_cov_3_835317,Low coverage
BeeP-37-2013_NODE_411_length_1083_cov_2_229622,Low coverage
BeeP-37-2013_NODE_427_length_1064_cov_4_950355,Low coverage
BeeP-37-2013_NODE_442_length_1045_cov_5_422521,Low coverage
BeeP-37-2013_NODE_456_length_1026_cov_4_151739,Low coverage
BeeP-37-2013_NODE_472_length_1010_cov_3_973205,Low coverage
BeeP-37-2013_NODE_476_length_1007_cov_4_145161,Low coverage
BeeP-37-2013_NODE_486_length_999_cov_4_365510,Low coverage
BeeP-37-2013_NODE_490_length_997_cov_3_822826,High coverage
BeeP-37-2013_NODE_505_length_980_cov_6_700997,Low coverage
BeeP-37-2013_NODE_506_length_980_cov_3_177187,Low coverage
BeeP-37-2013_NODE_509_length_972_cov_6_005587,High coverage
BeeP-37-2013_NODE_518_length_962_cov_3_621469,Low coverage
BeeP-37-2013_NODE_527_length_948_cov_3_305396,Low coverage
BeeP-37-2013_NODE_534_length_940_cov_4_681344,Low coverage
BeeP-37-2013_NODE_535_length_940_cov_4_500579,Low coverage
